Provinsi/Kabupaten/Kota/Indonesia,,
,Rata-rata Lama Sekolah (RLS) menurut Jenis Kelamin (Tahun),
,Laki-laki,Perempuan
Kota Serang,9.61,8.53
Kota Tangerang Selatan,12.37,11.65
BALI,10.37,9.13
Jembrana,9.42,8.12
Tabanan,10.5,9.09
Badung,11.62,10.79
Gianyar,10.67,9.21
Klungkung,9.62,7.9
Bangli,8.45,7.38
Karangasem,7.75,5.91
Buleleng,8.69,7.23
Kota Denpasar,11.93,11.48
NUSA TENGGARA BARAT,8.75,7.62
Lombok Barat,7.92,6.46
Lombok Tengah,7.72,6.51
Lombok Timur,8.18,7.32
Sumbawa,9.29,8.39
Dompu,9.87,8.79
Bima,9.29,8.44
Sumbawa Barat,9.77,8.97
Lombok Utara,7.56,5.9
Kota Mataram,10.92,9.6
Kota Bima,11.29,10.67
NUSA TENGGARA TIMUR,8.36,8.14
Sumba Barat,7.55,7.09
Sumba Timur,7.94,7.82
Kupang,8.13,7.7
Timor Tengah Selatan,7.44,7.11
Timor Tengah Utara,8.48,8.31
Belu,7.76,7.6
Alor,9.16,8.39
Lembata,9.33,7.94
Flores Timur,8.68,7.87
Sikka,7.53,7.14
Ende,8.87,8.35
Ngada,8.85,8.77
Manggarai,8.78,7.66
Rote Ndao,8.33,7.71
Manggarai Barat,8.57,7.93
Sumba Tengah,7.63,7.42
Sumba Barat Daya,6.57,6.44
Nagekeo,8.54,8.39
Manggarai Timur,8.29,7.85
Sabu Raijua,7.1,7.26
Malaka,7.49,7.3
Kota Kupang,12.06,11.57
KALIMANTAN BARAT,8.39,7.73
Sambas,7.41,6.42
Bengkayang,7.96,7.17
Landak,8.54,7.46
Mempawah,7.74,7.17
Sanggau,8.3,7.4
Ketapang,8.44,7.66
Sintang,8.09,7.52
Kapuas Hulu,8.43,7.77
Sekadau,8.11,6.91
Melawi,8.49,7.51
Kayong Utara,7.06,6.02
Kubu Raya,7.8,7.18
Kota Pontianak,10.74,10.18
Kota Singkawang,8.68,8.43
KALIMANTAN TENGAH,9.13,8.77
Kotawaringin Barat,9,8.72
Kotawaringin Timur,8.6,7.84
Kapuas,8.36,7.89
Barito Selatan,9.78,9.1
Barito Utara,9.15,8.63
Sukamara,8.62,7.97
Lamandau,9.04,8.54
Seruyan,8.45,7.76
Katingan,9.04,8.9
Pulang Pisau,8.74,8.29
Gunung Mas,9.45,9.4
Barito Timur,9.99,9.66
Murung Raya,8.52,8.03
Kota Palangka Raya,11.86,11.65
KALIMANTAN SELATAN,9.1,8.53
Tanah Laut,8.39,7.62
Kotabaru,8.24,7.51
Banjar,8.57,7.74
Barito Kuala,8.36,7.62
Tapin,8.87,8
Hulu Sungai Selatan,8.45,8.12
Hulu Sungai Tengah,8.75,8.21
Hulu Sungai Utara,8.42,7.74
Tabalong,9.82,9.04
Tanah Bumbu,8.91,8.03
Balangan,9.01,7.85
Kota Banjarmasin,11.15,10.08
Kota Banjar Baru,11.45,10.87
KALIMANTAN TIMUR,10.41,9.83
Paser,9.3,8.77
Kutai Barat,9.54,8.63
Kutai Kartanegara,9.63,8.85
Kutai Timur,9.93,9.02
Berau,10.06,9.32
Penajam Paser Utara,9,8.43
Mahakam Ulu,9.2,8.58
Kota Balikpapan,11.49,10.82
Kota Samarinda,11.56,10.71
Kota Bontang,11.25,11
KALIMANTAN UTARA,9.8,9.3
Malinau,9.91,9.05
Bulungan,9.81,9.22
Tana Tidung,9.96,8.9
Nunukan,8.64,8.34
Kota Tarakan,10.68,10.39
SULAWESI UTARA,9.79,10.04
Bolaang Mongondow,8.41,8.51
Minahasa,10.07,10.46
Kepulauan Sangihe,8.45,9
Kepulauan Talaud,10.09,9.97
Minahasa Selatan,9.51,9.76
Minahasa Utara,10.39,10.34
Bolaang Mongondow Utara,8.34,8.88
Siau Tagulandang Biaro,9.42,9.78
Minahasa Tenggara,8.93,9.31
Bolaang Mongondow Selatan,8.3,8.43
Bolaang Mongondow Timur,8.29,8.42
Kota Manado,11.67,11.52
Kota Bitung,10.09,10.02
Kota Tomohon,10.92,11.22
Kota Kotamobagu,10.37,10.3
SULAWESI TENGAH,9.17,9.05
Banggai Kepulauan,9.25,8.76
Banggai,9.15,8.81
Morowali,9.76,9.27
Poso,9.91,9.77
Donggala,8.53,7.87
Toli-Toli,9.06,8.8
Buol,9.25,9.21
Parigi Moutong,8.31,8.04
Tojo Una-Una,8.58,8.75
Sigi,9.05,9.1
Banggai Laut,9.18,8.36
Morowali Utara,9.39,9.09
Kota Palu,12.12,11.4
SULAWESI SELATAN,9.09,8.92
